age,income,city,label
45,30965,LA,0
32,149559,LA,1
55,121856,NYC,1
45,45158,LA,0
25,28369,Chicago,0
19,138359,Chicago,1
46,118623,Chicago,1
30,35585,LA,0
43,53617,NYC,0
59,25518,NYC,0
57,39182,NYC,0
30,80084,LA,1
41,91616,NYC,1
24,149589,Chicago,1
49,39451,Chicago,0
43,103671,Chicago,1
45,135036,Chicago,1
49,109039,LA,1
49,85358,Chicago,1
60,134648,NYC,1
52,99923,NYC,1
18,64593,Chicago,0
65,137834,LA,1
70,62182,NYC,0
51,39446,LA,0
56,122782,NYC,1
42,96408,LA,1
63,112585,LA,1
22,124850,NYC,1
51,133887,NYC,1
22,49503,NYC,0
20,59380,NYC,0
66,130618,LA,1
39,132971,NYC,1
69,39506,Chicago,0
47,146956,LA,1
50,70099,Chicago,1
50,24406,Chicago,0
23,108941,Chicago,1
66,98661,NYC,1
65,75884,NYC,1
36,90178,Chicago,1
44,128225,LA,1
68,147432,LA,1
56,96859,NYC,1
69,22684,Chicago,0
18,117090,NYC,1
37,86434,Chicago,1
34,63605,NYC,0
49,132706,LA,1
70,59689,LA,0
42,126173,LA,1
21,41468,Chicago,0
26,51319,LA,0
64,128781,LA,1
21,143451,NYC,1
48,74770,NYC,1
49,136649,Chicago,1
63,30698,Chicago,0
62,39840,LA,0
44,24611,Chicago,0
47,70683,LA,1
21,33301,LA,0
67,39840,NYC,0
20,98420,Chicago,1
26,102570,LA,1
24,111760,Chicago,1
59,65438,NYC,0
42,122684,LA,1
25,135510,NYC,1
57,111857,LA,1
57,102878,LA,1
59,36295,Chicago,0
63,101531,LA,1
68,131297,NYC,1
42,124771,LA,1
65,134364,Chicago,1
69,35932,Chicago,0
68,44789,NYC,0
68,71383,LA,1
41,119171,NYC,1
47,66734,Chicago,0
22,145370,NYC,1
20,83722,LA,1
19,143834,Chicago,1
60,94613,Chicago,1
31,50101,NYC,0
67,127399,Chicago,1
67,85852,Chicago,1
51,75064,Chicago,1
37,143926,NYC,1
27,75832,Chicago,1
45,140963,NYC,1
24,74478,NYC,1
24,74416,NYC,1
64,145115,NYC,1
68,78552,LA,1
61,74659,NYC,1
49,140492,LA,1
64,53106,NYC,0
40,29218,NYC,0
40,110672,NYC,1
40,65597,NYC,0
18,128825,NYC,1
70,67946,NYC,0
56,137104,NYC,1
31,20423,NYC,0
60,108310,Chicago,1
25,118038,NYC,1
36,68382,Chicago,0
19,142262,Chicago,1
32,132613,NYC,1
29,79512,NYC,1
48,65147,Chicago,0
34,37060,NYC,0
31,67479,LA,0
48,145948,LA,1
36,142831,Chicago,1
58,62858,NYC,0
55,30591,NYC,0
52,96133,LA,1
28,69360,NYC,0
26,125433,NYC,1
38,86628,NYC,1
33,118940,NYC,1
36,68819,LA,0
60,26062,NYC,0
56,22693,LA,0
22,112034,NYC,1
26,75080,LA,1
53,74624,Chicago,1
27,97473,LA,1
37,103488,LA,1
23,52513,LA,0
58,68399,Chicago,0
51,27583,LA,0
44,21104,LA,0
64,138130,LA,1
46,46737,LA,0
36,144825,LA,1
23,144553,NYC,1
68,34236,LA,0
25,93161,Chicago,1
62,40169,Chicago,0
46,141669,LA,1
29,120616,LA,1
45,42903,NYC,0
47,64615,Chicago,0
27,66578,LA,0
58,103532,NYC,1
48,118963,NYC,1
36,20241,Chicago,0
46,101098,LA,1
18,48669,LA,0
25,120746,Chicago,1
37,91461,Chicago,1
27,75601,Chicago,1
66,81791,NYC,1
61,85231,NYC,1
52,119876,LA,1
35,102846,NYC,1
25,55399,Chicago,0
20,20033,LA,0
43,88957,Chicago,1
63,71935,LA,1
24,117851,LA,1
40,57145,Chicago,0
30,98041,NYC,1
20,29234,LA,0
37,89945,LA,1
25,89492,NYC,1
66,41437,NYC,0
44,132845,LA,1
36,88135,NYC,1
54,88558,Chicago,1
31,89648,NYC,1
44,145259,Chicago,1
52,72876,Chicago,1
67,138495,LA,1
36,77981,LA,1
54,102419,NYC,1
28,36160,Chicago,0
25,69994,LA,0
55,81334,NYC,1
53,107589,LA,1
40,102852,LA,1
65,74408,NYC,1
48,84075,Chicago,1
50,61712,LA,0
59,145622,NYC,1
46,59345,NYC,0
65,84949,NYC,1
57,48274,NYC,0
40,81804,LA,1
18,130916,Chicago,1
22,110032,NYC,1
61,144427,Chicago,1
60,71788,NYC,1
41,25397,NYC,0
57,20490,LA,0
58,111709,LA,1
64,138059,NYC,1
27,118515,Chicago,1
36,45061,NYC,0
45,80410,Chicago,1
39,70348,NYC,1
39,75274,Chicago,1
61,77051,NYC,1
46,142320,Chicago,1
27,88702,LA,1
26,47376,NYC,0
46,65766,LA,0
45,125754,LA,1
42,115654,NYC,1
68,45715,LA,0
31,96877,Chicago,1
21,138727,LA,1
20,50674,Chicago,0
23,134164,NYC,1
41,27469,Chicago,0
58,108800,NYC,1
32,100056,LA,1
57,31354,Chicago,0
50,118499,LA,1
67,135010,LA,1
44,80069,NYC,1
